title,company,location,salary,description,city,state
Sr. Customer Success Manager,Smarking,"San Francisco,  CA",80000,"Smarking is a group of driven data scientists, MIT PhDs, engineers, transportation nerds, and business professionals working to introduce elegant solutions to...",San Francisco, CA
Planning and Research Analyst (HSI-Grant Funded),San Mateo County Community College District,"San Mateo,  CA",97116,"Uses software packages to retrieve, edit, and tabulate data from various databases and files and data sources;...",San Mateo, CA
Public Health Research Analyst,Metropolitan Area Planning Council,"Boston,  MA",60000,"Proficiency with R, Python, PostgresSQL, STATA, or other statistical and data management tools preferred. Analyze both traditional and non-traditional data...",Boston, MA
Data Visualization Research Specialist,Northeastern University - Network Science Institut...,"Boston,  MA",50000,"The lab of Professor Albert-László Barabási, together with the Network Science Institute at Northeastern University and the Division of Network Medicine at...",Boston, MA
"Analyst/Senior Analyst, Advanced Analytics",Liberty Mutual,"Boston,  MA",94100,"Preferred experience manipulating and analyzing data. Participate in discussions with key stakeholders, such as Underwriting, and GS Analytics modeling team...",Boston, MA
Data Analytics Manager / Machine Learning Specialist,Strategic Employment Partners,"Newton,  MA",130000,"5+ years of experience as a Data Analytics Manager, Machine Learning Engineer, Data Scientist, etc. Work with various team members ranging from Data Scientists,...",Newton, MA
Logistics Technician,Abcam,"Cambridge,  MA",38500,"Process incoming shipments from suppliers, ensuring accuracy of all product data. Abcam Logistics is focused on providing the world’s best research tools to...",Cambridge, MA
Sr. Quantitative Analyst,Huxley Associates,"Boston,  MA",200000,The Analyst will focus on Equity research across a number of key initiatives and provide investment insights through the use of broad data and analytic tools....,Boston, MA
"Software Engineers (Scala / Java / Python, Hadoop, Machine L...",WinterWyman,"Boston,  MA",120000,"Any experience with big data, machine learning, Hadoop, messaging frameworks, etc. is a plus. You will work on consumer and enterprise (SaaS) systems that...",Boston, MA
Machine Learning Engineer,Darwin Recruitment,"Boston,  MA",175000,"Experience with data processing and storage frameworks like Hadoop, Scaling, Spark. Apply machine learning, NLP and deep learning methods to huge data sets....",Boston, MA
Research Analyst III,Commonwealth of Massachusetts,"Boston,  MA",66890,"Determine methods and procedures for data collection, including developing or identifying appropriate data collection tools and protocols;...",Boston, MA
Lead Data Scientist,All-In Analytics,"Wellesley,  MA",145000,Deep knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....,Wellesley, MA
Sr. Data Architect,All-In Analytics,"Boston,  MA",190000,"The dashboards will be internationalized and used by our data associates, research scientists, and managers around the world....",Boston, MA
SENIOR DIRECTOR OF DATA SCIENCE - RETAIL,Harnham,"Boston,  MA",180000,"Team management, mentoring & leadership experience overseeing highly-educated data scientists & analysts. A Data Science & Machine Learning approach is required...",Boston, MA
Data Engineer,Jobspring Partners,"Boston,  MA",150000,Analytics automation company in downtown Boston is looking to hire a Senior Data Scientist to join their newly formed Data Services team....,Boston, MA
Research Analyst,"Asset Recovery Advisors, Inc.","Newton,  MA",32500,Data entry pertaining to ongoing research and data management using excel and other processing software. Is a Massachusetts based research firm specializing in...,Newton, MA
